neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Tetuán,Cuatro Caminos,40.4512913774646,-3.69552177001349,Entire home/apt,95,2,24,1.83,1,69
Salamanca,Goya,40.4240806261544,-3.67998032057218,Entire home/apt,190,3,1,0.54,1,112
Centro,Palacio,40.410756630044496,-3.70979032027011,Entire home/apt,75,1,19,2.73,1,309
Centro,Cortes,40.4133386433626,-3.70078343448053,Private room,29,7,0,0.0,38,311
Centro,Universidad,40.4242026581962,-3.70193443452581,Private room,28,1,1,0.05,1,0
Centro,Sol,40.4140466770261,-3.7070977660030096,Entire home/apt,35,4,4,4.0,1,0
Carabanchel,San Isidro,40.3908632984274,-3.73023524540358,Private room,18,1,27,0.59,1,349
Centro,Sol,40.418531958043395,-3.70119956842822,Private room,20,2,56,4.55,1,304
Moncloa - Aravaca,Argüelles,40.4259770647589,-3.7139779773443995,Private room,35,2,0,0.0,1,364
Centro,Universidad,40.428122276248104,-3.70389775861643,Private room,22,20,0,0.0,1,0
Chamberí,Rios Rosas,40.443135413240206,-3.69677891909939,Private room,50,1,0,0.0,1,168
Centro,Sol,40.416908030159604,-3.7073561040991603,Shared room,180,2,0,0.0,4,353
Arganzuela,Palos de Moguer,40.4060762048284,-3.69219930654185,Entire home/apt,90,2,19,2.69,8,336
Centro,Cortes,40.4135211431908,-3.6968283839465,Entire home/apt,127,2,6,0.51,1,0
Centro,Sol,40.4146799513349,-3.70415080889724,Private room,37,1,70,8.05,9,309
Centro,Universidad,40.4242623282045,-3.70219420277394,Entire home/apt,70,2,1,0.16,3,121
Centro,Embajadores,40.4093444358681,-3.69984725561271,Entire home/apt,50,2,45,4.31,1,305
Salamanca,Goya,40.425099345948404,-3.6740881595295,Private room,30,1,0,0.0,1,75
Moratalaz,Vinateros,40.4057647564594,-3.6467576395363506,Entire home/apt,65,2,12,1.72,1,160
Centro,Palacio,40.4185812332753,-3.71079460849565,Entire home/apt,55,2,102,4.76,3,265
Centro,Embajadores,40.4101800579026,-3.7020283280705697,Entire home/apt,45,3,33,4.88,1,198
Centro,Justicia,40.4253927296727,-3.6997065420637703,Entire home/apt,86,1,33,1.36,2,314
Centro,Embajadores,40.407825823032205,-3.7016344467033,Private room,18,1,1,0.06,1,0
Moncloa - Aravaca,Argüelles,40.4278707940044,-3.7175763860788,Private room,75,3,47,1.98,3,342
Centro,Palacio,40.4225024539356,-3.71162861635531,Entire home/apt,55,1,16,2.65,48,141
Centro,Embajadores,40.4108689726949,-3.69639189307292,Entire home/apt,40,2,0,0.0,67,66
Chamberí,Almagro,40.435405899862,-3.6939345187441,Private room,25,2,1,1.0,2,14
Centro,Justicia,40.4222271584736,-3.6976228702364504,Entire home/apt,44,2,11,4.29,1,77
Arganzuela,Imperial,40.413355326178795,-3.71931663237556,Entire home/apt,49,2,10,0.93,1,0
Salamanca,Lista,40.4294680341061,-3.67487323920164,Private room,23,20,5,0.74,2,216
Retiro,Pacífico,40.406625250184,-3.6759057645155098,Private room,30,2,0,0.0,1,0
Centro,Justicia,40.4211734217301,-3.70096469262164,Private room,30,1,36,2.74,7,46
Centro,Sol,40.4185970303295,-3.7030387529764597,Entire home/apt,85,2,15,1.31,1,5
Tetuán,Castillejos,40.462949162361,-3.69035630216806,Entire home/apt,100,7,0,0.0,1,0
Centro,Embajadores,40.413094175378205,-3.70552511120271,Entire home/apt,63,3,175,4.1,8,301
Arganzuela,Delicias,40.3916561888876,-3.6941156533314197,Entire home/apt,75,2,175,4.0,1,251
Centro,Universidad,40.422696379074004,-3.70079130193667,Private room,36,1,0,0.0,1,364
Centro,Universidad,40.428008679233706,-3.70479089384166,Entire home/apt,49,1,114,4.21,1,14
Ciudad Lineal,Pueblo Nuevo,40.4316925180971,-3.6405993367141,Private room,23,1,8,1.8,1,311
Chamberí,Trafalgar,40.4348840857127,-3.7012782692461097,Entire home/apt,39,3,6,0.49,7,58
Barajas,Casco Histórico de Barajas,40.4735275823725,-3.57783367604962,Entire home/apt,250,1,12,0.63,15,202
Centro,Cortes,40.416856031457705,-3.69805519832973,Private room,60,1,19,1.7,1,242
Centro,Sol,40.418709583307205,-3.7064082997224905,Private room,31,7,0,0.0,26,310
Centro,Universidad,40.4235920786481,-3.70543353769016,Private room,25,4,2,1.33,5,172
Centro,Universidad,40.4282371931635,-3.7039182491481,Private room,48,3,7,0.37,1,279
Centro,Embajadores,40.4092648023077,-3.6953357276983,Private room,25,1,124,5.34,1,299
