Source,Target,Weight
516464106,872351839232155649,1
537951506,111423348,1
214413743,707953217066422272,1
213969309,617438032,1
394892872,156635674,1
213969309,75974281,1
214413743,728295779069124608,1
213969309,17919972,1
507672047,27476898,1
353786894,434121099,1
213969309,205302299,1
353786894,163559269,1
394892872,91062278,1
213969309,26053643,1
262230432,382560919,1
262230432,20232903,1
353786894,324945774,1
213969309,193047282,1
213969309,2197839546,1
213969309,759658867177299972,1
537951506,995918288,1
537951506,2769425966,1
516464106,286489488,1
516464106,38070776,1
353786894,142970025,1
213969309,40837929,1
213969309,21286325,1
213969309,131948686,1
516464106,593249762,1
507672047,44029470,1
537951506,4201552600,1
213969309,248271397,1
353786894,303765136,1
213969309,15617631,1
394892872,429299551,1
537951506,82724710,1
353786894,442076235,1
394892872,717745214111227904,1
537951506,2731792534,1
394892872,771876913,1
353786894,1222060448,1
213969309,33267059,1
537951506,19851469,1
516464106,2733210014,1
516464106,956289326245138432,1
213969309,2763983390,1
353786894,32453930,1
213969309,164218983,1
394892872,446575489,1
394892872,1231506325,1
537951506,53053378,1
394892872,2288297108,1
516464106,231992478,1
353786894,267220090,1
213969309,838379683288920066,1
516464106,828964081,1
537951506,15128930,1
262230432,478492840,1
516464106,834819780326596608,1
214413743,197385282,1
213969309,8809462,1
213969309,338084918,1
394892872,23575595,1
213969309,109019534,1
516464106,915560095,1
213969309,475007092,1
516464106,115044590,1
213969309,41458237,1
537951506,20055740,1
213969309,19110928,1
537951506,315357209,1
537951506,169915544,1
902951244549038081,93819292,1
213969309,21586997,1
394892872,90155699,1
213969309,453889530,1
213969309,1832036990,1
213969309,2305960437,1
516464106,736341350,1
213969309,60649803,1
213969309,910429598,1
213969309,26793734,1
394892872,612473,1
537951506,542838911,1
537951506,2847193157,1
516464106,584767961,1
394892872,162840111,1
516464106,271988035,1
213969309,407137170,1
213969309,10228272,1
213969309,29446225,1
394892872,298464227,1
516464106,352881953,1
516464106,71308607,1
516464106,20600235,1
262230432,490756890,1
262230432,504143250,1
353786894,265618431,1
213969309,471287735,1
537951506,716238475,1
213969309,893504118,1
394892872,191879849,1
213969309,193756399,1
213969309,1087759512709275648,1
213969309,49573859,1
262230432,1114303131737837573,1
516464106,83627955,1
902951244549038081,23114836,1
394892872,541896393,1
213969309,210775513,1
537951506,578142284,1
353786894,25746725,1
394892872,209580428,1
516464106,85835031,1
537951506,2491702663,1
213969309,601909858,1
537951506,1076176465,1
213969309,186361848,1
353786894,19871250,1
213969309,83855918,1
902951244549038081,2788626986,1
507672047,1394556068,1
262230432,87818409,1
214413743,14423603,1
537951506,89194184,1
507672047,50003640,1
537951506,2463541910,1
353786894,82322622,1
537951506,120470332,1
353786894,402784738,1
262230432,2742056954,1
213969309,316341061,1
353786894,49835387,1
537951506,363142018,1
537951506,462346627,1
213969309,1374387865,1
394892872,2788626986,1
516464106,49391820,1
213969309,214791922,1
507672047,871490042,1
516464106,201792834,1
516464106,842865091993354240,1
262230432,1359603444,1
213969309,18647765,1
214413743,197314637,1
537951506,92245322,1
213969309,551817094,1
394892872,20723481,1
353786894,186009251,1
507672047,116281535,1
507672047,34394666,1
507672047,4874420380,1
213969309,582813534,1
213969309,38170974,1
262230432,344634424,1
394892872,507672047,1
507672047,971608718,1
537951506,128532255,1
353786894,249610294,1
516464106,315373823,1
213969309,27045028,1
537951506,54620528,1
516464106,27799311,1
516464106,299827455,1
537951506,784295671,1
353786894,63490735,1
213969309,15485441,1
213969309,24228913,1
537951506,2873763009,1
353786894,1037633133523423232,1
516464106,151393774,1
213969309,40908929,1
213969309,119691332,1
516464106,1069560776,1
902951244549038081,3394094229,1
537951506,210775513,1
353786894,17540485,1
213969309,149103331,1
262230432,1230676218770579456,1
537951506,58444150,1
516464106,432507102,1
262230432,1243891825372528643,1
213969309,2307252283,1
213969309,87429715,1
394892872,402180396,1
516464106,371230439,1
537951506,896208993869103104,1
353786894,30087521,1
394892872,1006611474,1
214413743,18381291,1
